PlaceName,latitude,longitude
Sisauna Sisauna ,29.21438,78.27071
Sisauli Sisauli Sisauli,29.41386,77.4689
Sisāna Sisana Sisana Sisanah Sisāna Sisānah,28.90293,76.85141
Sisai Sisai ,29.17882,76.01089
Sirsi Makhdūmpur Railroad Station Sirsi Makhdumpur Railroad Station Sirsi Sirsi Makhdumpur Sirsi Makhdumpur Railroad Station Sirsi Makhdūmpur Sirsi Makhdūmpur Railroad Station Sirsi Mukhdumpur,28.6348,78.64333
Sirsi Sirsi Sirsi,28.63916,78.64303
Sirsāganj Sirsaganj Sirsaganj Sirsāganj,27.05715,78.68661
Sirsa Branch Sirsa Branch Sirsa Branch Sirsa Distributary,29.49816,74.93407
Sirsa Sirsa Sirsa sirasa sirsa syrsa xi er sa Сирса سیرسا ضلع سرسہ सिरसा ସିର୍ସା 西尔萨,29.53489,75.02898
Sirsa Sirsa SRS Sirasa Sirasā Sirsa,29.58333,75.08333
Siroli Siroli ,26.8047,75.90852
Sir Muttra Sir Muttra ,26.51501,77.37212
Sirmaur Sirmaur SRM Sirmaur Sirmoor Sirmur Sirmūr,30.75,77.5
Sirhind Sirhind Sirhind,30.64321,76.38421
Sinsini Sinsini Sinsini,27.3662,77.29906
Singhaur Singhaur ,30.10435,77.02828
Singhāna Singhana ,28.09959,75.83895
Simli Simli ,29.75131,78.02027
Simbaoli Simbaoli Simbaoli Simbaoli Railroad Station Simbhaoli,28.76484,77.98412
Silīserh Lake Siliserh Lake ,27.52915,76.52859
Silāna Silana ,28.93596,76.84635
Sikri Patti Sikri Patti ,27.57688,77.07352
Sīkri Sikri ,29.54365,77.91641
Sīkar Sikar Sikar Sīkar,27.61206,75.13996
Sīkar Sikar SKR Sikar Sīkar,27.58333,75.16667
Sikandra Rao Sikandra Rao Sikandra Rao,27.68859,78.37985
Sikandra Sikandra ,27.21327,77.9474
Sikandarpur Sikandarpur SKQ,28.24262,77.78998
Sikandarābād Sikandarabad Sikandarabad Sikandarābād Sikandrabad,28.45226,77.70004
Sidhmukh Sidhmukh Sidhmukh Sidmukh Sidmuth Sīdmūkh Sīdmūth,28.88944,75.28693
Sidhpura Sidhpura Sidhpura,27.63312,78.86918
Shri Mahāvīrji Railroad Station Shri Mahavirji Railroad Station Shree Mahavirji Shri Mahabirji Shri Mahavirji Shri Mahavirji Railroad Station Shri Mahābīrji Shri Mahāvīrji Shri Mahāvīrji Railroad Station Sri Mahabirji Sri Mahābīrji,26.68372,76.96878
Sholāka Railroad Station Sholaka Railroad Station SHLK Sholaka Sholaka Railroad Station Sholāka Sholāka Railroad Station,27.97353,77.36046
Shīshgarh Shishgarh Shishgarh Shīshgarh,28.72928,79.31469
Shikohābād Shikohabad Shikohabad Shikohābād,27.108,78.58661
Shikārpūr Shikarpur Shikarpur Shikārpur Shikārpūr,28.28072,78.01411
Shibpuri Shibpuri Shibpuri Shivpuri,30.13809,78.39053
Sherpur Sherpur ,30.44059,75.70664
Sherkot Sherkot Bijnor Sherkot,29.32704,78.57429
Shergarh Shergarh Shergarh,28.65128,79.36815
Shergarh Shergarh Shergarh,27.78645,77.61274
Sherāh Sherah Sherah Sherāh,29.44111,76.82049
Sepharāguwār Sepharaguwar Sepharaguwar Sepharāguwār Shepuragarh,27.81591,75.72445
Sheodāspura Sheodaspura ,26.71017,75.89534
Sekhīwās Sekhiwas Sekhiwas Sekhīwās Shekhawas Shekhawās,27.86655,74.86019
Shatrāna Shatrana ,29.91023,76.12023
Shamaspur Kalān Shamaspur Kalan Shamaspur Kalan Shamaspur Kalān Shamspur,29.99679,77.32157
Shamsābād Shamsabad Shamsabad Shamsābād,27.01718,78.12358
Shāmpur Shampur ,26.3577,77.15254
Shāmli Shamli Shamli Shāmli,29.4497,77.30959
Shalāi Shalai Shalai Shalāi Shālai,30.6785,77.70456
Shakūrpur Shakurpur ,28.68379,77.14338
Shakūrbasti Shakurbasti SSB Sakur Basti Shakurbasti Shakurpur Shakūrbasti Shakūrpur,28.68129,77.12698
Shaikhpur Shaikhpur Shaikhpur Sheikhupur,28.00287,79.09575
Shāhzādpur Shahzadpur ,30.4459,77.03374
Shāhpur Begu Shahpur Begu ,29.48983,75.052
Shāhpura Shahpura ,27.3912,75.95956
Shāhpur Shahpur ,30.2993,76.84258
Shāhpur Shahpur Shahpur Shakhpura Shāhpur Шахпура,29.3501,77.5516
Shāhpur Shahpur ,27.90246,77.51354
Shāhjahānpur Shahjahanpur ,27.99736,76.44914
Shahi Railroad Station Shahi Railroad Station SSC Shahi Shahi Railroad Station Shāhi,28.58683,79.68896
Shāhi Shahi Shahi Shāhi,28.55023,79.31761
Shāhdara Shahdara Shahdara Shāhdara,28.66765,77.29191
Sahārwa Saharwa Saharwa Sahārwa Shaharwa Shahārwa,28.92209,75.74185
Shāhābād Shahabad Shahabad Shāhābād,30.16776,76.87046
Shāhābād Shahabad Sahabad Shahabad Shāhābād Sāhābād,28.56681,79.00956
Shāhbād Shahbad Shahabad Shahbad Shāhbād Shāhābād,27.9241,76.80734
Shafākhāna Shafakhana ,29.16123,79.15543
Sewar Sewar ,27.18553,77.43957
Siwāni Siwani Sewani Sewāni Siwani Siwāni,28.90909,75.61469
Serohi Nāngal Serohi Nangal Nangal Sirohi Serohi Nangal Serohi Nāngal,28.19039,76.13122
Seriska Seriska ,27.39221,76.37088
Sepau Sepau ,26.81611,77.74853
Seondāra Seondara Seondara Seondāra,28.56506,78.87022
Seohāra Seohara Seohara Seohāra Seohārā,29.20904,78.58837
Senthal Senthal ,28.52806,79.57094
Semli Semli ,27.46569,76.92771
Sekha Sekha SEQ Sekha Sekha Railroad Station,30.38059,75.64589
Seiling Seiling ,28.33333,76.16667
Seifni Seifni ,28.65442,78.89109
Sihot Bari Sihot Bari Sehot Sihot Bari,27.55932,74.92013
Seba Seba Seba Sebā,26.52241,76.84311
Saur Saur ,30.25,78.51667
Saunk Saunk ,27.4,77.48333
Sātraud Satraud Satraud Satraud Kalan Satraud Railroad Station Sātraud Sātraud Kalān Sātraud Railroad Station,29.10819,75.82295
Satnāli Satnali ,28.37627,75.96397
Sātra Satra Sathra Sathro Satra Sāthra Sātra,28.21667,74.80222
Sātyūn Satyun Sathon Satyun Sātyūn,28.56476,75.11521
Sathla Sathla ,29.05016,77.92734
Satheri Satheri ,29.26484,77.70384
Sater Sater ,29.7936,79.23319
Sāsni Sasni Sasni Sāsni,27.70287,78.08278
Sarūrpur Sarurpur Sarurpur Sarūrpur,29.03028,77.23387
Sarsāwa Sarsawa Sansawa Sarsawa Sarsāwa,30.01674,77.4007
Sarkara Sarkara SKX Sarkara Sarkara Railroad Station,29.16147,79.06484
Sarendhi Sarendhi ,26.93785,77.68133
Sardulgarh Sardulgarh Sardulgarh,29.69224,75.23608
Sardhana Sardhana Daurala Sardhana,29.12414,77.70782
Sardhana Sardhana Sardhana,29.14551,77.61433
Sarauth Pawayān Sarauth Pawayan Sarauth Sarauth Pawayan Sarauth Pawayān Sarauth Pawāyān,27.45904,79.08897
Sarauli Sarauli Saranli Sarauli,28.49404,79.09177
Saraswati River Saraswati River Saraswati Saraswati Nadi Saraswati River,29.92769,76.31153
Sarāi Tarīn Sarai Tarin ,28.5527,78.56631
Sarāi Banjāra Sarai Banjara SBJ Sarai Banjara Sarai Banjara Railroad Station Sarāi Banjāra Sarāi Banjāra Railroad Station,30.53743,76.51735
Sarāhān Sarahan Sarahan Sarāhān,30.71894,77.19126
Sānkra Sankra Sankra Sānkra,28.04114,78.53327
Sānkhu Sankhu Sankhu Sankhun Sānkhu Sānkhū Sānkhūn,28.4305,75.34693
Sangrūr Sangrur Sangrur Sangrūr,30.24506,75.84488
Sangrur Sangrur SNR Sangrur Sangrur District Sangrūr,30.25,75.85
Sānghi Sanghi ,29.02862,76.6155
Sāngāner Sanganer Sanganer Sanganer Town Sāngāner,26.8122,75.78309
Sanet Sanet ,26.66791,76.95797
Saneh Road Saneh Road SNX Saneh Road Saneh Road Railroad Station,29.69077,78.45177
Sāndkotra Sandkotra ,27.07312,76.17102
Sanaur Sanaur Sanaur,30.30182,76.45786
Sāmpura Sampura ,27.76667,76.01667
Sāmpla Sampla ,28.77718,76.77165
Sāmod Samod Samod Samode Sāmod,27.20209,75.81042
Samda Samda Samda Sāmda,27.81476,76.42267
Shimbhu Railroad Station Shimbhu Railroad Station Sambhu Shimbhu Shimbhu Railroad Station,30.42876,76.68573
Sambhal Sambhal Sambal Sambhal sambal sambhala Самбал سامبال سنبھل संभल সাম্ভাল ସମ୍ଭାଲ,28.58498,78.56959
Sāmar Gopālpur Khurd Samar Gopalpur Khurd Nayagaon Nayāgaon Samar Gopalpur Samar Gopalpur Khurd Sāmar Gopālpur Sāmar Gopālpur Khurd,28.95134,76.52788
Samāna Samana Samana Samāna Sāmāna,30.15395,76.19851
Samāna Samana ,29.90404,76.91105
Samālkha Samalkha Samalkha Samālkha,29.23552,77.01273
Samālka Samalka Samalka Samalkha Samālka Samālkha,28.53499,77.09079
Sālwan Salwan Salwan Sālwan,29.50592,76.71889
Salāwa Salawa ,29.22983,77.66217
Islāmpur Islampur Islampur Islāmpur Salampur Salāmpur,28.15014,75.53987
Salāhwās Salahwas ,28.45635,76.47028
Sālāheri Salaheri ,28.1034,77.03224
Salādipura Saladipura ,27.65,75.01667
Sakrauda Sakrauda ,30.00224,77.84958
Sakrās Sakras Sakras Sakrās,27.8489,76.99352
Sikrai Sikrai ,26.91763,76.69161
Sakīt Sakit Sakit Sakīt,27.43463,78.77903
Sakauti Tānda Railroad Station Sakauti Tanda Railroad Station Sakauti Tanda Sakauti Tanda Railroad Station Sakauti Tānda Sakauti Tānda Railroad Station Sakhauti Tanda Sakhauti Tānda Sakhoti Tanda,29.19329,77.72001
Sajūma Sajuma SJM Sajuma Sajuma Railroad Station Sajūma Sajūma Railroad Station,29.72718,76.29651
Sāhawa Sahawa Sahawa Saio Sāhawa,28.87328,74.84777
Sainthal Sainthal Sainthal,27.03614,76.29617
Saifullāhganj Saifullahganj ,28.07386,78.76077
Saidpur Saidpur ,28.61089,77.90896
Sāhiya Sahiya ,30.61464,77.87557
Sāhibi Nadi Sahibi Nadi Sabi Sahibi Nadi Sahibi River Subi Sābi Sāhibi Nadi Sāhibi River Sūbi,28.47897,76.72726
Sāhībābād Sahibabad Sahibabad Sahibābād Sāhībābād,28.67126,77.37176
Sahāwar Sahawar Sahawar Sahāwar,27.79603,78.83373
Sahaswān Sahaswan Sahaswan Sahaswān,28.07227,78.75082
Sahaspur Sahaspur ,30.39398,77.80948
Sahaspur Sahaspur Sahaspur,29.12125,78.62273
Sahāranpur Saharanpur Saharanpur Sahāranpur,29.9679,77.54522
Sahāranpur Saharanpur SHR Saharanpur Saharanpur District Sahāranpur Sahāranpur District,29.9,77.68333
Sahār Sahar ,27.62941,77.47906
Shahar Shahar Sahar Shahar,26.60776,76.72818
Sāha Saha ,30.3119,76.97707
Safidon Safidon Safidon,29.40596,76.67042
Safdar Jang Safdar Jang Delhi Safdar-Jung Safdar Jang,28.58333,77.18333
Sadulpur Sadulpur Sadulpur,28.6316,75.38666
Sādullāhganj Sadullahganj Sadullahganj Sadulleganj Sādullāhganj,28.18333,79.41667
Sādhūgarh Sadhugarh Sadhoo Garh Sadhugarh Sadhugarh Railroad Station Sādhūgarh Sādhūgarh Railroad Station,30.58196,76.44865
Sādhaura Sadhaura ,30.38541,77.22199
Sadda Singhwāla Sadda Singhwala SSZ Sadda Singhwala Sadda Singhwāla,30.02619,75.32479
Sadalpur Sadalpur ,29.31859,75.44961
Sadābād Sadabad Sadabad Sadābād,27.43818,78.03758
Sabzi Mandi Sabzi Mandi Sabzi Mandi Subzi Mundi,28.66786,77.20068
Sabzi Mandi Sabzi Mandi Delhi Sabzimandi Sabzi Mandi Subzi Mundi,28.67263,77.20607
Sahābsar Sahabsar Sabsar Sahabsar Sahābsar,28.04141,74.86434
Sābora Sabora ,27.32504,77.24956
Rūwo Ruwo ,28.08333,75.93333
Rūpbās Rupbas Rupbas Rūpbās,26.9928,77.59218
Runkuta Railroad Station Runkuta Railroad Station RNKA Runkuta Runkuta Railroad Station,27.2231,77.89854
Rūdāwal Rudawal Rudawal Rudāwal Rūdāwal,26.96494,77.42441
Rudaur Rudaur ,26.60897,77.01389
Roshanpur Roshanpur RHN Roshanpur Roshanpur Railroad Station,29.03202,78.88436
Roshān Roshan ,27.95,74.85
Rori Rori ,29.74372,75.20302
Roorkee Roorkee Roorkee Rurki luo ao er kai ai roraki rraki ruraki rurki rurkki Рурки Руркі روڑکی रुड़की रूरकी রোরকি ଋଡ଼କୀ ரூர்க்கி రూర్కీ 罗奥尔凯埃,29.86632,77.89118
Rohal Rohal Rohal Rol,28.04442,74.8671
Rohti Rohti ,30.39122,76.20364
Rohtak Rohtak Rohtak Rokhtak luo he ta ke rohataka rwhtak rwtk Рохтак روتک روهتاك روہتک रोहतक রোহতক રોહતક ରୋହତକ 罗赫塔克,28.89447,76.58917
Rohtak Rohtak RHT Rohtak Rohtak District,28.83333,76.66667
Rohilkhand Plains Rohilkhand Plains Rohilkhand Rohilkhand Plains,28.5,79
Rohāna Rohana ,29.59127,77.70292
Rithaura Rithaura ,28.45918,79.5074
Rīthākhāl Rithakhal ,29.90067,78.82001
Rispana Rao Rispana Rao ,30.26,78.02727
Rishīkesh Rishikesh Rikhikesh Rishikesh Rishīkesh Ришикеш,30.10778,78.29255
Rīngas Ringas Reengus Ringas Ringus Rīngas,27.3636,75.56838
The Ridge The Ridge Delhi Ridge The Ridge,28.7,77.21667
Richha Road Richha Road RR Richha Road Richha Road Railroad Station,28.71392,79.48907
Richha Richha Richha,28.69467,79.52284
Rewāsa Rewasa Rewasa Rewassa Rewāsa,27.53308,75.22595
Rewāri Rewari Rewari Rewāri,28.199,76.6183
Retāna Retana Retana Retano Retāna,28.54025,74.79054
Renwal Renwal RNW Renwal,27.1504,75.35633
Reni Reni ,27.16579,76.7379
Rahra Rahra Rahra Rehra,28.52785,78.31955
Rehar Rehar Rehar,29.35675,78.77245
Redi Redi ,28.751,74.86658
